,13+,16+,18+,7+,all,,
Disney,67,4,1,274,366,712,
Hulu,153,25,332,85,31,626,
Netflix,372,149,841,304,139,1805,
Prime,359,96,1026,398,152,2031,
,951,274,2200,1061,688,5174,4332
,18.4%,5.3%,42.5%,20.5%,13.3%,,
,,,,,,,
,13+,16+,18+,7+,all,,
Disney, 131 , 38 , 303 , 146 , 95 ,,
Hulu, 115 , 33 , 266 , 128 , 83 ,,
Netflix, 332 , 96 , 767 , 370 , 240 ,,
Prime, 373 , 108 , 864 , 416 , 270 ,,
,,,,,,,
,,,,,,,
,13+,16+,18+,7+,all,,
Disney," 4,079 "," 1,136 "," 91,050 "," 16,383 "," 73,616 ",,
Hulu," 1,439 ", 66 ," 4,333 "," 1,881 "," 2,729 ",,
Netflix," 1,619 "," 2,853 "," 5,404 "," 4,375 "," 10,204 ",,
Prime, 205 , 134 ," 26,378 ", 342 ," 13,940 ",,
